State,City,Location Name,Screen Aspect Ratio (AR),Digital Projector,Maximum AR for digital projection,Film Projector,Height,Width,Commercial films shown?
FL,Miami,Regal Kendall Village & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.50 m,16.30 m,Yes
FL,Naples,Regal Naples & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
FL,Oldsmar,AMC Woodlands Square 20 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
FL,Orlando,Regal Waterford Lakes & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
FL,Palm Beach Gardens,CMX Downtown at The Gardens 16 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
FL,Pembroke Pines,AMC Pembroke Lakes 9 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,10.30 m,18.40 m,Yes
FL,Tampa,AMC Veterans 24 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.80 m,16.60 m,Yes
GA,Alpharetta,AMC North Point Mall 12 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.10 m,16.30 m,Yes
GA,Atlanta,Regal Atlantic Station & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.70 m,17.20 m,Yes
GA,Buford,Regal Mall of Georgia & IMAX,1.43:1,IMAX CoLa,1.90:1,IMAX GT3D 15/70 mm,18.10 m,24.80 m,Yes
GA,Kennesaw,AMC Barrett Commons 24 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.40 m,16.50 m,Yes
GA,Morrow,AMC Southlake Pavilion 24 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.90 m,17.80 m,Yes
GA,Pooler,Royal Cinemas & IMAX,1.43:1,IMAX GT Laser,1.43:1,No,23.2 m,30.8 m,Yes
GA,Sharpsburg,NCG Peachtree City & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
IA,Waukee,The Palms Theatre & IMAX,1.90:1,IMAX GT Laser,1.90:1,No,14.83 m,28.11 m,Yes
ID,Boise,Regal Edwards Boise & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,8.83 m,17.37 m,Yes
IL,Chicago,AMC Roosevelt Collection 16 & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,10.68 m,18.28 m,Yes
IL,Chicago,Regal City North & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9 m,15.5 m,Yes
IL,Savoy,Savoy 16 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
IN,Indianapolis,"IMAX, Indiana State Museum",1.43:1,IMAX Digital,1.90:1,IMAX GT3D 15/70 mm,19.20 m,25.60 m,Yes
KS,Kansas City,AMC Legends 14 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
KS,Leawood,AMC Town Center 20 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
KS,Olathe,AMC Studio 28 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
LA,Shreveport,The Goodman IMAX Dome,Dome 1.43:1,IMAX Laser for Dome,Dome 1.43:1,No,0 m,18.30 m,Yes
MA,Boston,"Mugar Omni, Museum of Science",Dome 1.43:1,IMAX Laser for Dome,Dome 1.43:1,No,0 m,23.20 m,Limited
MA,Boston,"AMC Boston Common 19",2.40:1,IMAX CoLa,1.90:1,No,9.0 m,18.60 m,Yes
MA,Danvers,AMC Liberty Tree Mall 20 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
MA,Methuen,AMC Methuen 20 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.40 m,16.40 m,Yes
MA,Reading,Sunbrella IMAX 3D Theater Reading,1.43:1,IMAX GT Laser,1.43:1,No,20.00 m,25.70 m,Yes
MA,Somerville,AMC Assembly Row 12 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,9.40 m,16.80 m,Yes
MD,Columbia,AMC Columbia 14 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,7.30 m,15.90 m,Yes
MD,Frederick,Regal Westview & IMAX,1.90:1,IMAX CoLa,1.90:1,No,7.70 m,14.30 m,Yes
MD,Gaithersburg,AMC Rio Cinemas 18 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.20 m,13.70 m,Yes
MD,Nottingham,AMC White Marsh 16 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.50 m,16.20 m,Yes
MI,Detroit,"Chrysler IMAX Dome Theatre, Michigan Science Center",Dome 1.43:1,N/A,N/A,IMAX GT Dome 15/70 mm,0 m,20.60 m,No
MI,Grand Blanc,NCG Trillium & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
MI,Grand Rapids,Celebration! Cinema Grand Rapids North & IMAX,1.43:1,IMAX Digital,1.90:1,IMAX SR 15/70 mm,16.10 m,21.30 m,Yes
MI,Southgate,MJR Southgate & IMAX,1.90:1,IMAX Laser XT,1.90:1,No,0 m,0 m,Yes
MN,Edina,AMC Southdale 16 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
MN,Roseville,AMC Rosedale 14 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,8.80 m,15.70 m,Yes
MN,St. Paul,Omnitheater Science Museum of Minnesota,Dome 1.43:1,IMAX Laser for Dome,Dome 1.43:1,No,0 m,27.40 m,No
MO,Branson,Branson's IMAX - Entertainment Complex,1.43:1,IMAX GT Laser,1.43:1,No,19.00 m,25.60 m,Yes
MO,Independence,AMC Independence 20 & IMAX,1.90:1,IMAX CoLa,1.90:1,No,0 m,0 m,Yes
